post url,post title,post price,post location
https://newyork.craigslist.org/que/apa/d/flushing-br-1st-fl-private-house/7694980297.html,1 Br 1st Fl private house,"$2,999",Kew gardens hills
https://newyork.craigslist.org/brk/apa/d/brooklyn-bedrooms-bath-fully-renovated/7694980106.html,2 bedrooms 1 bath fully renovated Canarsie,"$2,200",Brooklyn Canarsie
https://newyork.craigslist.org/brk/apa/d/brooklyn-brand-new-luxury-bed-15-bath/7694979859.html,**BRAND NEW LUXURY 2 BED/ 1.5 BATH APT IN PLG**NO FEE**,"$2,999",Prospect Lefferts Gardens
https://newyork.craigslist.org/mnh/apa/d/new-york-very-sunny-1br-amazing-view/7694932738.html,Very Sunny 1BR W Amazing View from Top Floor,"$2,050",East Village
https://newyork.craigslist.org/brk/apa/d/brooklyn-stunning-luxury-bed-bath/7694979487.html,**STUNNING LUXURY 3 BED/ 2 BATH DUPLEX IN PLG**NO FEE**,"$4,125",Prospect Lefferts Gardens
https://newyork.craigslist.org/brk/apa/d/brooklyn-charming-bedroom-apt-for-rent/7694879001.html,Charming 2 bedroom Apt For Rent,"$3,000",Brooklyn
https://newyork.craigslist.org/mnh/apa/d/new-york-spacious-1b1b-apartment-at/7694834215.html,Spacious 1b1b apartment at Kips Bay w in bldg laundry& elevator,"$3,050",Kips Bay
https://newyork.craigslist.org/fct/apa/d/norwalk-house-rent-for-bedroom-and/7694811326.html,House rent for 2 bedroom and basement attached,"$3,600",Norwalk
https://newyork.craigslist.org/brk/apa/d/brooklyn-luxury-bed-bathroof/7694978398.html,LUXURY 3 BED 2 BATH🔥ROOF DECK🏙GYM🏋️‍♀️ELEVATOR🛗LAUNDRY🧺PA,"$3,900",BEDSTUY/BUSHWICK📍📍
https://newyork.craigslist.org/brk/apa/d/brooklyn-super-large-bed-in-prime/7694978283.html,🔥SUPER LARGE 2 BED IN PRIME BUSHWICK/L TRAIN🚂📍📍,"$2,750",BUSHWICK📍📍L TRAIN🚂
https://newyork.craigslist.org/brk/apa/d/brooklyn-prospect-parkrenovated-bed/7694978137.html,PROSPECT PARK🌳😍RENOVATED 1 BED WITH LAUNDRY🧺,"$2,450",PROSPECT LEFERTS GARDEN
https://newyork.craigslist.org/brk/apa/d/brooklyn-modern-bedroom-for-rent/7694977426.html,Modern 1 bedroom for rent. Elevator and in unit laundry,"$2,500",BUSHWICK @Halsey J
